#ZMATRIX
#
N
N    1    2.1738777465
C    1    1.4819188661   2  161.2567937669
C    1    1.3364975655   2   35.6413296967   3   -5.3252354474
C    1    1.3823475006   2   72.9049149831   3  174.4765645955
C    1    2.2077239766   2   36.7859100728   3  174.5646001920
C    1    2.4910169325   2  144.2480334574   3   72.9832620343
C    1    3.5983318942   2    7.4388289391   3   -6.0162958973
H    1    2.0757190137   2  131.9609504849   3  -14.9142213198
H    1    2.0787791753   2  159.5961577968   3 -101.7718406494
H    1    2.1501784291   2   59.6789030703   3   -5.3963788337
H    1    2.1570005182   2   97.9073151166   3  174.5842754626
H    1    3.2676556519   2   40.8278219146   3  174.7514031269
H    1    3.4232779331   2  152.9597858722   3   59.4495958541
H    1    2.7663258353   2  122.0913939270   3   63.2240334248
H    1    2.7784147740   2  137.4591704823   3  108.4102791051
H    1    4.1699395635   2   12.4125420568   3   77.9308163959
H    1    3.8995593862   2   23.4831361564   3   -5.8432103321
H    1    4.1695767168   2   12.4842057234   3  -89.4832999696
B    1   17.5423247129   2   56.4809668223   3  -47.8745136044
F    1   18.3625774113   2   59.0052757226   3  -51.0547556366
F    1   18.1390064264   2   52.3596896284   3  -47.5898115385
F    1   17.5944403746   2   58.4761091028   3  -42.9338154011
F    1   16.2224787100   2   56.2394849385   3  -49.9543777489
