,label,idx,value
0,pair_coeff_eps,1,1.0
1,pair_coeff_eps,2,1.0
2,pair_coeff_eps,3,1.0
3,pair_coeff_eps,4,1.0
4,pair_coeff_sig,1,10.0
5,pair_coeff_sig,2,10.0
6,pair_coeff_sig,3,10.0
7,pair_coeff_sig,4,10.0
8,lj.exp.n,0,6.0
9,lj.exp.m,0,12.0
